ROOT,RESERVE,PRIMARY 1,PRIMARY 2,PRIMARY 3,PRIMARY 4,RESERVE 1,RESERVE 2,RESERVE 3,RESERVE 4
גרף,1,גְּרַף,,,,,,,
גרר,1,גְּרַר,,,,,,,
גרשׁ,1,גְּרַשׁ I,*גְּרַשׁ II,,,,,,
גשׁף,1,נְשַׁף,,,,גשף,,,
גשׁשׁ,1,גְּשַׁשׁ,,,,,,,
דאג,0,דָּאַג,,,,,,,
דאי,1,,,,,,,,
דבב,1,דְּבַב I,,,,,,,
דבי,1,*דְּבִי,,,,,,,
דבק,1,דְּבֵק,,,,,,,
דבר,1,דְּבַר,,,,,,,
דגן,1,דְּגַן,,,,,,,
דגר,1,דְּגַר I,*דְּגַר II,,,,,,
דדי,1,דדי ²,,,,,,,
דהן,1,דְּהַן I,,,,,,,
דוב,1,דּוּב,,,,,,,
דוי,1,דוי ³,דוי ²,,,,,,
דוך,1,דּוּךְ,,,,,,,
דול,1,דּוּל,,,,,,,
דון,1,דִּין,,,,דּוּן,,,
דוץ,1,דּוּץ,דּוּץ II,,,,,,
דוק,1,דּוּק,,,,,,,
דור,1,דּוּר,,,,,,,
דושׁ,1,דּוּשׁ ²,,,,,,,
דות,1,,,,,,,,
דחי,1,דְּחִי,,,,,,,
דחל,1,דּחֵיל,,,,דְּחַל,,,
דחס,1,דְּחַס,,,,,,,
דחף,1,דְּחַף,,,,,,,
דחק,1,דְּחַק I,,,,,,,
דיין,1,דִּין,,,,,,,
דכי,1,דְּכִי,,,,,,,
דכר,1,דְּכַר I,,,,,,,
דלג,1,דְּלַג,,,,,,,
דלי,1,דְּלֵי,,,,,,,
דלל,1,דְּלַל,,,,,,,
דלף,1,דְּלַף,,,,,,,
דלק,1,דְּלַק,,,,,,,
דמי,1,דְּמֵי I,,,,,,,
דמך,1,דְּמַךְ,,,,,,,
דמע,1,דְּמַע,,,,,,,
דנח,1,דְּנַח,,,,,,,
דעץ,1,דּעַץ,,,,,,,
דפן,1,דְּפַן,,,,,,,
דצי,1,דְּצֵי,,,,,,,
דקק,1,דְּקַק,,,,,,,
דקר,1,דְּקַר,,,,,,,
דרי,1,דְּרֵי I,דְּרֵי II,,,,,,
דרך,1,דְּרַךְ,,,,,,,
דרם,1,דְּרַם,,,,,,,
דרס,1,דְּרַס,,,,,,,
דרשׁ,1,דְּרַשׁ,,,,,,,
דשׁשׁ,1,דְּשַׁשׁ,,,,,,,
הגי,1,הגי ²,,,,,,,
הדי,1,,,,,,,,
הדם,1,הֲדַם,,,,,,,
הדק,1,הֲדַק,,,,,,,
הדר,1,הֲדַר,,,,,,,
הוי,1,הֲוֵי,,,,,,,
היי,1,,,,,,,,
הלך,1,הֲלַךְ,,,,,,,
הלם,0,הָלַם,,,,,,,
הני,1,הֲנִי,,,,,,,
הפך,1,הֲפַךְ,,,,,,,
זבח,0,זָבַח,,,,,,,
זבל,1,זְבַל,,,,,,,
זבן,1,זְבַן,,,,,,,
זגג,1,זְגֵי,,,,,,,
זגי,1,זְגֵי,,,,זְגָא,,,
זהם,1,זְהַם,,,,,,,
זהר,1,זְהַר,,,,,,,
זוג,1,זְוַג,,,,,,,
זוד,1,זְוַד,,,,,,,
זוז,1,זוּז,,,,,,,
זוח,1,זוּחַ,זוּחַ ²,,,,,,
זון,1,זוּן I,זוּן II,,,,,,
זוע,1,זוּעַ ²,,,,,,,
זוק,1,זוק,,,,,,,
זור,1,זוּר,,,,,,,
זכי,1,זְכֵי,,,,,,,
זלח,1,זְלַח,,,,,,,
זלל,1,זְלַל,,,,,,,
זלף,1,זְלַף,,,,,,,
זמם,1,זְמַם,*זְמַם III,,,,,,
זמן,1,זְמַן I,,,,,,,
זמר,1,זְמַר,זְמַר ²,,,,,,
זני,1,זְנֵי,,,,,,,
זעק,1,זְעַק,,,,,,,
זקן,1,זְקַן,,,,,,,
זקף,1,זְקַף,,,,,,,
זקק,1,זְקַק,,,,,,,
זקר,1,זְקַר,,,,,,,
זרד,0,זָרַד,,,,,,,
זרז,1,זְרַז I,,,,,,,
זרע,1,זְרַע I,,,,,,,
זרף,1,זְרַף,,,,,,,
זרק,1,זְרַק,,,,,,,
חבב,1,חֲבַב,,,,,,,
חבט,1,חֲבַט,,,,,,,
חבי,1,חֲבֵי,,,,,,,
חבל,1,חֲבַל I,,,,,,,
חבס,1,חָבַס,,,,,,,
חבק,1,חֲבַק,,,,,,,
חבר,1,חֲבַר,,,,,,,
חבשׁ,1,חֲבַשׁ,,,,,,,
חגג,1,חֲגַג,,,,,,,
חדד,1,חֲדַד,,,,,,,
חדי,1,חֲדֵי,,,,,,,
חדק,1,חֲדַק,,,,,,,
חדר,1,חֲדַר,,,,,,,
חדש,0,חָדַשׁ,,,,,,,
חדת,1,חַדִּת,,,,,,,
חוב,1,חוּב ²,,,,,,,
חוח,1,,,,,,,,
חוט,1,חוּט,חוּט II,,,,,,
חוי,1,חוי ²,,,,,,,
חוך,1,חוּךְ I,חוּךְ II,,,,,,
חול,1,חוּל ³,חוּל ²,,,,,,
חוס,1,חוּס ²,,,,,,,
חוץ,1,חוּץ,,,,,,,
חור,1,חֲוַר,חוּר I,,,,,,
חזי,1,חֲזִי,,,,,,,
חזק,1,חֲזַק,,,,,,,
חזר,1,חֲזַר,,,,,,,
חטט,1,חֲטַט I,חֲטַט II,,,,,,
חטי,1,חֲטִי,חֲטִי ²,,,,,,
חטף,1,חֲטַף,,,,,,,
חטר,1,חֲטַר,,,,,,,
חיי,1,חֲיִי,,,,,,,
חיל,1,חִיל,,,,,,,
חכך,1,חֲכַךְ,,,,,,,
חכם,1,חֲכַם,,,,,,,
חכן,1,,,,,,,,
חכר,1,חֲכַר,,,,,,,
חלב,1,חֲלָב,,,,,,,
חלד,1,חֲלַד,,,,,,,
חלז,1,חֲלַז,,,,,,,
חלט,1,חֲלַט,חֲלַט ²,,,,,,
חלי,1,חֲלִי,,,,,,,
חלל,1,חֲלַל I,חֲלַל II,,,,,,
חלם,1,חֲלַם,חֲלַם ²,,,,,,
חלף,1,חֲלַף I,,,,,,,
חלץ,1,חֲלַץ,,,,,,,
חלק,1,,,,,,,,
חלשׁ,1,חֲלַשׁ,,,,,,,
חמד,1,חֲמַד,,,,,,,
חמט,1,חֲמַט II,חֲמַט I,,,,,,
חמי,1,חֲמִי,,,,,,,
חמם,1,חֲמַם,,,,,,,
חמס,1,חֲמַס,,,,,,,
חמע,1,חֲמַע I,,,,,,,
חמץ,1,חֲמַץ,,,,,,,
חמר,1,חֲמַר,חֲמַר ²,,,,,,
חנט,1,חֲנַט,,,,,,,
חנך,1,חֲנַךְ,,,,,,,
חנן,1,חֲנַן,,,,,,,
חנף,1,חֲנֵף,,,,,,,
חנק,1,חֲנַק,,,,,,,
חסם,1,חֲסַם,חֲסַם ²,,,,,,
חסן,1,חֲסַן I,חֲסַן II,,,,,,
חסר,1,חֲסַר,,,,,,,
חפי,1,חֲפֵי,,,,,,,
חפן,1,חֲפַן,,,,,,,
חפף,1,חֲפַף,חֲפַף ²,,,,,,
