WORD    HEBREW     ARAMAIC
רַבִּי
אֶלָּא
הוּא
לֹא
אוֹ
כִּי
עַד
וְלֹא
מִן
אֵין
לִי
מִשּׁוּם
לְגַבֵּי	[0.96085724 0.03914276]
אַבָּא	[0.72456615 0.27543385]
חֲמִשָּׁה	[0.04978476 0.95021524]
זָרָה	[0.04985437 0.95014563]
עָלַי	[0.04982467 0.95017533]
מְבָרֵךְ	[0.96082866 0.03917134]
יָרָק	[0.04981074 0.95018926]
לְמָחָר	[0.04987041 0.95012959]
וְהִיא	[0.1408409 0.8591591]
כְּלָל	[0.96083165 0.03916835]
אָזְלָא	[0.98610051 0.01389949]
מַתִּיר	[0.04982824 0.95017176]
אוֹסֵר	[0.00698921 0.99301079]
מִכְּדֵי	[0.96079871 0.03920129]
מִצְטָרְפִין	[0.04980611 0.95019389]
נָכְרִי	[0.12359913 0.87640087]
לְפָנָיו	[0.01172567 0.98827433]
מְעָרְבִין	[0.04986931 0.95013069]
רְשׁוּת	[0.04981852 0.95018148]
בָּרוּךְ	[0.1724978 0.8275022]
וַחֲמִשָּׁה	[0.04982302 0.95017698]
אֲבָנִים	[0.04977751 0.95022249]
לְיִשְׂרָאֵל	[0.86597421 0.13402579]
וְכֵיוָן	[0.96084569 0.03915431]
שָׁנִים	[0.00857957 0.99142043]
כְּלִי	[0.04986466 0.95013534]
נָגַע	[0.2112428 0.7887572]
כֹּהֲנִים	[0.04976659 0.95023341]
לִידֵי	[0.960858 0.039142]
דֶּרֶךְ	[0.04982123 0.95017877]
בִּשְׁנֵי	[0.06865563 0.93134437]
וְכַמָּה	[0.04977952 0.95022048]
נֶאֱמַר	[0.04981842 0.95018158]
מְלֵאָה	[0.07509063 0.92490937]
עֲבוֹדָה	[0.04982068 0.95017932]
וּמִשּׁוּם	[0.44285142 0.55714858]
עֶשֶׂר	[0.04228005 0.95771995]
לִבְנֵי	[0.91579075 0.08420925]
יְהֵא	[0.04985523 0.95014477]
זֶרַע	[0.04987316 0.95012684]
קָנָה	[0.24667388 0.75332612]
מֵי	[0.59034166 0.40965834]
מֵתָה	[0.04977762 0.95022238]
הוֹאִיל	[0.04982303 0.95017697]
מְקַדֵּשׁ	[0.19381033 0.80618967]
תְּלָתִין	[0.63479389 0.36520611]
גְּבַר	[0.96086485 0.03913515]
אָמְרָה	[0.40897615 0.59102385]
מִין	[0.95371597 0.04628403]
פּוֹטֵר	[0.03632348 0.96367652]
שֶׁאֵינָהּ	[0.04977986 0.95022014]
דְּמֵי	[0.93803868 0.06196132]
מֵחֲמַת	[0.19633961 0.80366039]
צִבּוּר	[0.04975896 0.95024104]
אֶל	[0.0247941 0.9752059]
וְכֹל	[0.03777071 0.96222929]
הֵבִיא	[0.04985468 0.95014532]
דַּל	[0.96087747 0.03912253]
אַחֶרֶת	[0.00274968 0.99725032]
בְּיַד	[0.77297041 0.22702959]
רוּחַ	[0.16910652 0.83089348]
וְאַתְּ	[0.96084655 0.03915345]
עֶשְׂרִין	[0.96085324 0.03914676]
דָּם	[0.13798361 0.86201639]
זְכָרִים	[0.02775942 0.97224058]
וַהֲלֹא	[0.06479119 0.93520881]
מַכְשִׁיר	[0.04981523 0.95018477]
יֹאכַל	[0.01206663 0.98793337]
שׁוֹחֲטִין	[0.01316474 0.98683526]
כָרֵת	[0.01593629 0.98406371]
וְאָמְרוּ	[0.04982256 0.95017744]
שֶׁבַע	[0.04985252 0.95014748]
עוֹד	[0.0498308 0.9501692]
וְאַרְבַּע	[0.33362517 0.66637483]
עוֹבֵר	[0.00712028 0.99287972]
פְּסוּלִין	[0.04985174 0.95014826]
מֵאַחַר	[0.39644425 0.60355575]
פְּתַח	[0.960863 0.039137]
קוּם	[0.17441184 0.82558816]
קֶרֶן	[0.00804215 0.99195785]
וְאָסוּר	[0.07397771 0.92602229]
פָּרָה	[0.03194062 0.96805938]
צְרִיכָה	[0.04982191 0.95017809]
כִי	[0.1045912 0.8954088]
מוֹסִיף	[0.04963129 0.95036871]
וּבְנֵי	[0.484715 0.515285]
בִּירוּשָׁלַיִם	[0.04981459 0.95018541]
בְּחֶזְקַת	[0.04987314 0.95012686]
יָלֵיף	[0.96083386 0.03916614]
אָמַרְתָּ	[0.04978945 0.95021055]
דְּבַר	[0.97309614 0.02690386]
כְּבֵית	[0.73980293 0.26019707]
מֵעֶרֶב	[0.0101647 0.9898353]
בְּסוֹף	[0.18659906 0.81340094]
תֵּשַׁע	[0.04983572 0.95016428]
מְבַטֵּל	[0.03448628 0.96551372]
בְּנִכְסֵי	[0.04983973 0.95016027]
גָּמַר	[0.56084057 0.43915943]
חַי	[0.72463613 0.27536387]
תִּשְׁעָה	[0.04978403 0.95021597]
סְתָם	[0.04982976 0.95017024]
בַּיִת	[0.04977993 0.95022007]
בִּי	[0.56935243 0.43064757]
כְּלַפֵּי	[0.96830847 0.03169153]
מֵאַרְבַּע	[0.04981076 0.95018924]
הַזָּב	[0.01234464 0.98765536]
כְלוּם	[0.13350659 0.86649341]
מַצִּיל	[0.14625158 0.85374842]
מֵזִיד	[0.04983075 0.95016925]
מְטַמְּאָה	[0.04984249 0.95015751]
שְׁמָהּ	[0.5 0.5]
גְּמַר	[0.9433836 0.0566164]
מוֹסִיפִין	[0.02080264 0.97919736]
וּמוֹדֶה	[0.03862476 0.96137524]
שְׁאָר	[0.13828187 0.86171813]
אִלּוּ	[0.11272876 0.88727124]
שִׁעוּר	[0.04977286 0.95022714]
בְּתֵירָא	[0.71868942 0.28131058]
וּמָה	[0.5433166 0.4566834]
מְקַבְּלִין	[0.16580145 0.83419855]
בְּאֶרֶץ	[0.04980035 0.95019965]
וּבַת	[0.04978914 0.95021086]
חוֹטֵא	[0.06206731 0.93793269]
מֵעֲשָׂרָה	[0.0117131 0.9882869]
מְעָרֵב	[0.38842537 0.61157463]
מִצְטָרֵף	[0.0498435 0.9501565]
פֶּסַח	[0.04979352 0.95020648]
לָמָּה	[0.00589067 0.99410933]
בְּלֹא	[0.04987263 0.95012737]
לְקַבֵּל	[0.04976894 0.95023106]
בָּתֵּי	[0.04978898 0.95021102]
בְּאַרְבַּע	[0.93765134 0.06234866]
לְאַלְתַּר	[0.9608352 0.0391648]
נִיסָן	[0.95865182 0.04134818]
מְבָרְכִין	[0.96080787 0.03919213]
נָפְלָה	[0.15215711 0.84784289]
וְאַרְבָּעָה	[0.25021394 0.74978606]
בָּךְ	[0.048334 0.951666]
קִבֵּל	[0.17870734 0.82129266]
כְּבָר	[0.96081922 0.03918078]
לְתוֹכָן	[0.3219381 0.6780619]
גָּזַר	[0.79327559 0.20672441]
אֵם	[0.03919309 0.96080691]
לְרַבִּי	[0.17203831 0.82796169]
קָשֶׁה	[0.13127361 0.86872639]
מְמַעֵט	[0.48945991 0.51054009]
כָּתַב	[0.42038259 0.57961741]
מְעַכֵּב	[0.04975953 0.95024047]
שְׁטָרֵי	[0.45867514 0.54132486]
יְדִיעָה	[0.03526778 0.96473222]
שְׁמוּאֵל	[0.43520356 0.56479644]
תַּלְמִידֵי	[0.9608931 0.0391069]
מֵעֵין	[0.1010596 0.8989404]
לְשַׁבָּת	[0.32696282 0.67303718]
עָבַר	[0.36313431 0.63686569]
יְרוּשָׁלַיִם	[0.25578987 0.74421013]
לְשׁוּם	[0.18433601 0.81566399]
לְעִנְיַן	[0.11547042 0.88452958]
שֵׁמוֹת	[0.01679437 0.98320563]
תְּהֵא	[0.64729402 0.35270598]
יוֹסֵף	[0.00481188 0.99518812]
מְטַלְטְלִין	[0.08234752 0.91765248]
רוּם	[0.05771029 0.94228971]
בְּמָנֶה	[0.02105093 0.97894907]
אָכְלָה	[0.21495407 0.78504593]
שִׁבְעִים	[0.29009895 0.70990105]
אִילָנֵי	[0.96087094 0.03912906]
מַחֲזִיק	[0.04983905 0.95016095]
שָׁמַע	[0.72062959 0.27937041]
רָאִיתִי	[0.13933784 0.86066216]
בָּבָא	[0.44966374 0.55033626]
כָּתוּב	[0.49445973 0.50554027]
פָּרַח	[0.77034986 0.22965014]
קְנֵי	[0.96152885 0.03847115]
מִלֵּוִי	[0.08665016 0.91334984]
דְּמַאי	[0.9968727 0.0031273]
עָלֶיךָ	[0.04980902 0.95019098]
פִּסְקֵי	[0.35026832 0.64973168]
וְתִשְׁעָה	[0.04980704 0.95019296]
עָתִיד	[0.32938027 0.67061973]
בְּאַרְבָּעָה	[0.48339331 0.51660669]
וּבִזְמַן	[0.02574744 0.97425256]
אַבְנֵי	[0.98191199 0.01808801]
עֲנִיִּים	[0.00889368 0.99110632]
סְאִין	[0.04977695 0.95022305]
בְּסֶלַע	[0.01796453 0.98203547]
מְהַלֵּךְ	[0.28983803 0.71016197]
קָדְמָה	[0.04975863 0.95024137]
וּפָתַח	[0.96081342 0.03918658]
מִקְרָא	[0.94001834 0.05998166]
פָּטַר	[0.96084022 0.03915978]
מִבְּעוֹד	[0.48046471 0.51953529]
עַבְדֵי	[0.84206872 0.15793128]
תּוֹךְ	[0.95046722 0.04953278]
לְאַבָּא	[0.98435554 0.01564446]
גַּמְלָא	[0.9607942 0.0392058]
וְצָרִיךְ	[0.31709632 0.68290368]
וְנָפְלָה	[0.04978374 0.95021626]
מֶלֶךְ	[0.15183269 0.84816731]
שֶׁעֲשָׂאוֹ	[0.04978448 0.95021552]
עִקָּר	[0.04980533 0.95019467]
וְכָתוּב	[0.04986029 0.95013971]
וְשִׁבְעָה	[0.94362332 0.05637668]
בָּלַע	[0.65656496 0.34343504]
בְּחַיֵּי	[0.98230749 0.01769251]
וּשְׁמַע	[0.13339455 0.86660545]
מַעֲלֶה	[0.01680293 0.98319707]
מִיּוֹם	[0.0152982 0.9847018]
וְרַבָּן	[0.63301902 0.36698098]
דַּק	[0.93185171 0.06814829]
אֲכִילַת	[0.14350484 0.85649516]
דָּמָהּ	[0.12650661 0.87349339]
אֹתוֹ	[0.04981288 0.95018712]
אִשְׁתִּי	[0.46406059 0.53593941]
חָטָא	[0.6274143 0.3725857]
שָׁלַח	[0.40661724 0.59338276]
לְבַיִת	[0.2637212 0.7362788]
קוֹל	[0.05234585 0.94765415]
סְפִינָה	[0.00862966 0.99137034]
עָרֵי	[0.75560263 0.24439737]
וַאֲחֵרִים	[0.04987692 0.95012308]
הֲלָכָה	[0.02498939 0.97501061]
עַיִן	[0.01592339 0.98407661]
לִסְמוֹךְ	[0.5160131 0.4839869]
וּמֵתוּ	[0.04982088 0.95017912]
קְרִי	[0.91532507 0.08467493]
בִּרְכַּת	[0.89017672 0.10982328]
חֲבֶרְתָּהּ	[0.25864954 0.74135046]
הֱוֵי	[0.80404589 0.19595411]
וּבוֹ	[0.01242983 0.98757017]
לְסוֹף	[0.71589964 0.28410036]
עֲפַר	[0.96087418 0.03912582]
כְּאֶחָד	[0.04978869 0.95021131]
מְחַשֵּׁב	[0.9179242 0.0820758]
בְּנִיסָן	[0.07669965 0.92330035]
וְזָרַק	[0.10749894 0.89250106]
תְּהִי	[0.8800895 0.1199105]
טָבַע	[0.39643511 0.60356489]
אֲבִי	[0.32867931 0.67132069]
שְׁטָר	[0.10548618 0.89451382]
מַתְחִיל	[0.43334582 0.56665418]
דִּינָר	[0.34247834 0.65752166]
דְּלִי	[0.94793118 0.05206882]
לְמֵאָה	[0.0497788 0.9502212]
וְעֶשְׂרִים	[0.03236561 0.96763439]
מְגָרֵשׁ	[0.1931516 0.8068484]
נָדַר	[0.20236508 0.79763492]
לְבַטֵּל	[0.01778286 0.98221714]
יִשְׁתַּמֵּשׁ	[0.04977988 0.95022012]
סַכָּנָה	[0.04621089 0.95378911]
אֲכִילָה	[0.07921441 0.92078559]
לְשָׁנָה	[0.01436816 0.98563184]
בִּסְפִינָה	[0.21429476 0.78570524]
חַיֵּי	[0.96521595 0.03478405]
יָדְעָה	[0.73525152 0.26474848]
לְמֹשֶׁה	[0.02493467 0.97506533]
יִפְתַּח	[0.41701776 0.58298224]
הִתְחִיל	[0.06940714 0.93059286]
וְלֵוִי	[0.5145075 0.4854925]
וּבִרְכַּת	[0.11441367 0.88558633]
מִדַּת	[0.179301 0.820699]
לְעַם	[0.04977688 0.95022312]
קָרָא	[0.96088214 0.03911786]
טַבְלָא	[0.99076719 0.00923281]
שְׁתִי	[0.66773148 0.33226852]
דָּרַשׁ	[0.88967264 0.11032736]
גוּפָהּ	[0.04981523 0.95018477]
תִּקְרַב	[0.93802635 0.06197365]
מִינֵי	[0.97552182 0.02447818]
עֲנָבִים	[0.04983802 0.95016198]
חָטְאוּ	[0.55884636 0.44115364]
וָלָד	[0.04985614 0.95014386]
פּוֹתְחִין	[0.13829368 0.86170632]
וְהוֹצִיאוּהוּ	[0.96086389 0.03913611]
גְּבוֹהָה	[0.03268499 0.96731501]
שְׁמָא	[0.97793607 0.02206393]
לֵילֵךְ	[0.18671831 0.81328169]
חֲמֵשׁ	[0.10550391 0.89449609]
וּמְקַבֵּל	[0.06489538 0.93510462]
מַאֲהִיל	[0.05509335 0.94490665]
עָרֵב	[0.04427939 0.95572061]
בִּרְשׁוּתוֹ	[0.02687327 0.97312673]
לְאֶחָד	[0.04982389 0.95017611]
וְשֶׁבַע	[0.04979131 0.95020869]
לִיךְ	[0.98083113 0.01916887]
לֵילֵי	[0.97230446 0.02769554]
הֵא	[0.10772603 0.89227397]
בָּטְלוּ	[0.01334573 0.98665427]
לְנָכְרִי	[0.16500943 0.83499057]
חִזְקִיָּה	[0.09160634 0.90839366]
מֵאֶרֶץ	[0.01285955 0.98714045]
פְּלַג	[0.54317019 0.45682981]
קָבְעָה	[0.69060331 0.30939669]
חֲבוּרַת	[0.08096566 0.91903434]
פִרְחֵי	[0.43940463 0.56059537]
אֲחוֹרֵי	[0.55559584 0.44440416]
לֹוֶה	[0.03002119 0.96997881]
כַּלָּה	[0.05278183 0.94721817]
וְעַבְדֵי	[0.84425831 0.15574169]
מְתַקְּנָן	[0.72162089 0.27837911]
מִיּוֹסֵף	[0.04979044 0.95020956]
נַפְשָׁהּ	[0.04988895 0.95011105]
בָנִים	[0.00284213 0.99715787]
סִימָן	[0.11031732 0.88968268]
וְכָתַב	[0.12627977 0.87372023]
קָרְאוּ	[0.31399197 0.68600803]
דִּינָרִין	[0.04981748 0.95018252]
מִבְּנֵי	[0.66509777 0.33490223]
בִּשְׁאָר	[0.62773002 0.37226998]
פָּרָשָׁה	[0.1178241 0.8821759]
כָּרַע	[0.89764489 0.10235511]
וּמְבָרֵךְ	[0.88975209 0.11024791]
קָרְמוּ	[0.12679339 0.87320661]
סַלֵּי	[0.98908902 0.01091098]
תִּשְׁרֵי	[0.96081115 0.03918885]
הָאֲדָמָה	[0.20134434 0.79865566]
מַלְכוּת	[0.30477661 0.69522339]
קָמָה	[0.46730295 0.53269705]
הַמִּינִין	[0.0465128 0.9534872]
וּמִתְעַטֵּף	[0.85494427 0.14505573]
הַסָּמוּךְ	[0.05282331 0.94717669]
הִגִּיעָה	[0.03872347 0.96127653]
וְעָבַר	[0.25735843 0.74264157]
מַתְיָא	[0.9969684 0.0030316]
לְכֹהֲנִים	[0.2523726 0.7476274]
קָנוּ	[0.73428106 0.26571894]
דָּוִד	[0.31232663 0.68767337]
אָרִיג	[0.09800656 0.90199344]
בְּפֵרוּשׁ	[0.35264978 0.64735022]
לִפְלוֹנִי	[0.62736734 0.37263266]
וְחַיֵּי	[0.96217373 0.03782627]
וְיָדַע	[0.19264953 0.80735047]
יָמוּת	[0.04738232 0.95261768]
כַּרְשִׁינֵי	[0.9608465 0.0391535]
בִּימֵי	[0.78519441 0.21480559]
נוֹשְׂאִים	[0.2325342 0.7674658]
וְהוֹצִיאוּהָ	[0.79688308 0.20311692]
בְּבַת	[0.40178485 0.59821515]
וּלְמָחָר	[0.02845104 0.97154896]
הַמַּרְדַּעַת	[0.05889881 0.94110119]
לִשְׁאָר	[0.08726952 0.91273048]
קָדוֹשׁ	[0.04983477 0.95016523]
אַשּׁוּר	[0.42181217 0.57818783]
רְפוּאָה	[0.04980911 0.95019089]
טָבַח	[0.06062444 0.93937556]
