אַבְטָלָה
אָבָק
אֲבָקוֹת
אבהנוס
אבהונוס
אבלומוס
אגבאסטס
אַבּוּבְרָאֶה
אַבּוּבְרוֹאֶה
אַבְטָחָה
אֲבֵלָא
אָבִיל
אֲבֵילָא
אַבְיוּ
בַּרא
אֵגֶה
אֵגִין
אָב
אבקאות
אַבּוּבְרָם
אַבְטָא
אַבְלֵט
אֲבִזְרָא
אֲבִיזְרָא
אֲבִזְרֵי
אֲבִיזְרֵי
אֲבֵידָן
אביקלוס
אֵבֶל
אֲבֵילִים
אַגְדָּנָא
אֱגוֹזָה
אֲדַמְדְּמָנֵי
אַדְרִיכָל
אָדֵשׁ
אָבִיק
אַבָּהוּ
אִבּוּלָא
אִיבּוּלָא
אִבּוּלֵי
אַבְרָתָא
אַבְרָתָה
אָבְדָּן
אוֹבְדָּן
אַבְטוֹלְמוֹס
אֶבְיוֹנָה
אֲבֵילָה
אַבְנִימוֹס
נִימוֹס
אֶבְיָתָר
א
אַבְאָשׁוּתָא
א׳
אֲבָל
אַבְרוּיֵי
אַדְּ־
אַדְּרַבָּא
אַדְּרַבָּה
אָהֳלַיָּא
אוֹהֳלַיָּיא
אגוסתא
אַבְטִינָס
אֲבַב
אַבַּיִּי
אַבְקָא
אבניתא
אברסקין
אבדתא
אֲבוּדְמָא
אבודמי
אבויין
אבקת
אביסנא
אַבִּינָא
אבולין
אגאלוגין
אגאליגין
אָגוּסְטָאן
אָגוּסְטְיָין
אֲאָרָא
אֶבְלָא
אֶבְלָה
אִיבְלָא
אֲבֵל
אֲבֵיל
אִתְאַבֵּל
אַבֵּל
אַבֵּיל
אֶבְקוֹלָס
אֲגַד
אַבְיַת
א׳ישימון
אֲבַּד
אָבַד
אַבַּד
אוֹבֵד
אוֹבֵיד
אִתְאַבַּד
אִבְרוֹסִי
אַבְנֵט
אַבְנֵטִים
אַבְרָאִי
אֶבְדִּימָא
אִבְּבָא
אֵבְרָא
אֶבְגְּנִיסְטֵי
אָבִיב
אָבִיבָא
אַבִּיב
אַבִּיבָא
אַגְוִיסְטוֹר
אֻבְשִׁין
אַכְאָבִית
אֲבָבִית
עַבְעָבִית
עֲבָבִית
עַוְעָוִית
אַבִּיר
אַבִּירִים
אבזייני
אַבְטוֹמְטוֹס
