51nl 1ds 600gp 10sm	למיזרקיה٠ דאי בעי זרק٠
61nl 1ds 600gp 10sm	דלא הוה "{שהות}" ^֗חזי֗^ למיזרקיה
71nl 1ds 600gp 10sm	אבל הוה "{שהות}" ^֗חזי֗^ למיזרקיה מאי٠ הכי נמי דנ֗פ֗{{י}}ק
81nl 1ds 600gp 10sm	"מידי מעיל׳٠" מאי איריא תני "לאחר זריק׳"٠
62nl 1ds 600gp 10sm	הא קאתי לאשמועינ׳٠ כל לאיתויי "לידי מעילה٠ זריק׳"
72nl 1ds 600gp 10sm	"כתיקנה" מתייא "לידי מעילה" כל לאפוקי٠
82nl 1ds 600gp 10sm	אפילו "שלא כתיקנה" נמי מפקא "מידי מעילה"٠
51nl 2ds 600gp 10sm	והני תרתי למה לי٠ צריכן٠
61nl 2ds 600gp 10sm	דאי איתמר "בקדשי קדש׳" הוה אמינ׳٠ בהא
71nl 2ds 600gp 10sm	קא׳ ר׳ אליעזר٠ "מועלי׳ בו" משום דזריק׳
81nl 2ds 600gp 10sm	"כתיקנה" מפקא "מידי מעיל׳٠ שלא כתיקנה" לא
91nl 2ds 600gp 10sm	מפקא "מידי מעילה٠ אבל" לאיתויי "לידי מעיל׳"
02nl 2ds 600gp 10sm	מודי ליה לר׳ עקיב׳ דאפילו "שלא כתיקנה" מתייא "לידי מעילה"٠
32nl 2ds 600gp 10sm	דאפילו "זריק׳ שלא כתיקנה" מ֗ת֗ייא "לידי מעיל׳"٠
42nl 2ds 600gp 10sm	"אבל קדש׳ קדש׳" דלאפוקי הוא٠ "שלא כתיקנה"
52nl 2ds 600gp 10sm	לא מפקא "מידי מעילה"٠ קמ׳ל٠
50nl 1ds 700gp 10sm	אלמא האי "אלל"
60nl 1ds 700gp 10sm	כיון דלית ביה מששא לא מקבל "טומאה"٠ הני
70nl 1ds 700gp 10sm	"נשפכין" נמי כיון "דלאיבוד" קאזלי٠ לא
80nl 1ds 700gp 10sm	מהניא בהו "מחשבה"٠
31nl 2ds 700gp 10sm	חד גופה הוא٠
61nl 2ds 700gp 10sm	אישתיק٠ קצצתינון
