לַכֹּהֲנִים,"('R', 'NN')","('כֹּהֵן', 'NN')",,
שֶׁנִּשְׁחֲטָה,"('R', 'VB')","('נִשְׁחַט', 'VB')","('שָׁחַט', 'VB')",
חוּץ,"('R', 'RB')","('חוּץ', 'NN')","('חוּץ', 'RB')","('חוּץ', 'Prefix')"
לִזְמַנָּהּ,"('R', 'VB')","('זְמַן', 'NN')",,
חוּץ,"('R', 'RB')","('חוּץ', 'NN')","('חוּץ', 'RB')","('חוּץ', 'Prefix')"
לִמְקוֹמָהּ,"('R', 'NN')","('מָקוֹם', 'NN')",,
וְשֶׁקִּיבְּלוּ,"('R', 'VB')","('קִבֵּל', 'VB')",,
פְּסוּלִין,"('R', 'NN')","('פָּסוּל', 'JJ')","('פְּסוּל', 'NN')","('פִּסּוּל', 'NN')"
וְזָרְקוּ,"('R', 'VB')","('זָרַק', 'VB')",,
אֶת,"('R', 'AT')","('אֶת', 'IN')","('אַתְּ', 'PRP')","('אֵת', 'NN')"
דָּמָה,"('R', 'NN')","('דָּמָה', 'VB')","('דָּם', 'NN')",
,,,,
גְּמָ׳,A,,,
קָתָנֵי,A,תָּנֵי,,
קׇדְשֵׁי,R,,,
קָדָשִׁים,"('R', 'NN')","('קָדֵשׁ', 'NN')","('קֹדֶשׁ', 'NN')",
שֶׁשְּׁחָטָן,"('R', 'NN')","('שָׁחַט', 'VB')",,
בַּדָּרוֹם,"('R', 'NN')","('דָּרוֹם', 'NN')",,
מוֹעֲלִין,"('R', 'BN')","('מָעַל', 'VB')",,
בָּהֶן,"('R', 'PRP')","('הֵן', 'RB')",,
פְּשִׁיטָא,A,פְּשִׁיטָא,,
מִשּׁוּם,"('A', 'yyDOT')","('שׁוּם', 'NN')","('שׁוּם', 'NN')","('הִשְׁוָה', 'VB')"
דִּשְׁחִיטָתָן,A,,,
בַּדָּרוֹם,"('R', 'NNP')","('דָּרוֹם', 'NN')",,
אַפֵּיקִינּוּן,A,,,
מִידֵי,"('A', 'yyDOT')","('מִידֵי', 'IN')","('יָד', 'NN')",
מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
,,,,
אִיצְטְרִיךְ,A,אִצְטְרִיךְ,,
סָלְקָא,A,סָלְקָא,,
דַּעְתָּךְ,A,דַּעְתָּךְ,,
אָמֵינָא,A,אָמֵינָא,,
הוֹאִיל,"('R', 'VB')","('הוֹאִיל', 'VB')","('הוֹאִיל', 'CC')",
וְאָמַר,"('R', 'VB')","('אָמַר', 'VB')","('הֵמַר', 'VB')",
עוּלָּא,A,,,
אָמַר,"('R', 'VB')","('אָמַר', 'VB')","('הֵמַר', 'VB')",
רַבִּי,"('R', 'NN')","('רַבִּי', 'NN')","('רַב', 'JJ')","('רַבִּים', 'שֵם ז""ר')"
יוֹחָנָן,"('R', 'NNP')","('יוֹחָנָן', 'A')",,
קָדָשִׁים,"('R', 'NN')","('קָדֵשׁ', 'NN')","('קֹדֶשׁ', 'NN')",
שֶׁמֵּתוּ,"('R', 'NN')","('מֵת', 'VB')","('מֵת', 'NN')","('תָּו', 'NN')"
יָצְאוּ,"('R', 'VB')","('יָצָא', 'VB')",,
מִידֵּי,A,מִדֵּי,,
מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
דְּבַר,A,דְּבַר,בַּר,
תּוֹרָה,"('R', 'NN')","('תּוֹרָה', 'NN')","('תּוֹר', 'NN')","('הוֹרָה', 'VB')"
הָכִי,A,הָכִי,,
נָמֵי,A,נָמֵי,,
קׇדְשֵׁי,R,,,
קָדָשִׁים,"('R', 'NN')","('קָדֵשׁ', 'NN')","('קֹדֶשׁ', 'NN')",
לְגַבֵּי,A,גַּבֵּי,,
דָרוֹם,"('R', 'NNP')","('דָּרוֹם', 'NN')",,
כְּמָה,U,כְּמָה,מָה,
דְּחַנְקִינּוּן,A,חַנְקִנּוּן,,
דָּמֵי,A,דָּמֵי,,
,,,,
קָא,A,,,
מַשְׁמַע,A,מַשְׁמַע,,
לַן,A,לַן,,
קָדָשִׁים,"('R', 'NN')","('קָדֵשׁ', 'NN')","('קֹדֶשׁ', 'NN')",
שֶׁמֵּתוּ,"('R', 'NN')","('מֵת', 'VB')","('מֵת', 'NN')","('תָּו', 'NN')"
לָא,A,לָא,,
חֲזוּ,A,חֲזוּ,,
כְּלָל,A,כְּלָל,,
אֲבָל,"('R', 'CC')","('אֲבָל', 'CC')","('אֵבֶל', 'NN')","('אָבֵל', 'שֵם')"
דָּרוֹם,"('R', 'NNP')","('דָּרוֹם', 'NN')",,
נְהִי,A,נְהִי,,
דְּאֵינוֹ,"('A', 'yyDOT')","('דָּאָה', 'VB')",,
רָאוּי,R,,,
לְקׇדְשֵׁי,A,,,
קָדָשִׁים,"('R', 'NN')","('קָדֵשׁ', 'NN')","('קֹדֶשׁ', 'NN')",
אֲבָל,"('R', 'CC')","('אֲבָל', 'CC')","('אֵבֶל', 'NN')","('אָבֵל', 'שֵם')"
רָאוּי,R,,,
הוּא,A,הוּא,,
לְקָדָשִׁים,"('R', 'NN')","('קֹדֶשׁ', 'NN')","('קָדֵשׁ', 'NN')",
קַלִּים,"('R', 'JJ')","('קַל', 'JJ')","('קַל', 'NN')","('קַל', 'VB')"
,,,,
לְמָה,A,מָה,,
לִי,A,לִי,,
לְמִיתְנֵי,A,לְמִתְנֵי,מִתְנֵי,
כׇּל,A,כׇּל,,
הָנֵי,A,הָנֵי,,
,,,,
צְרִיכִי,U,צְרִיכִי,,
אִי,A,אִי,,
תְּנָא,A,תְּנָא,,
שְׁחָטָן,"('R', 'NN')","('שָׁחַט', 'VB')",,
בַּדָּרוֹם,"('R', 'NN')","('דָּרוֹם', 'NN')",,
וְקִיבֵּל,"('A', 'yyDOT')","('קִבֵּל', 'VB')",,
דָּמָן,"('R', 'NN')","('דָּם', 'NN')",,
בַּצָּפוֹן,"('R', 'NN')","('צָפוֹן', 'NN')",,
הָכָא,A,הָכָא,,
דְּאִית,A,אִית,,
בְּהוּ,"('A', 'yyDOT')","('בָּהָה', 'VB')",,
מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
מִשּׁוּם,"('A', 'yyDOT')","('שׁוּם', 'NN')","('שׁוּם', 'NN')","('הִשְׁוָה', 'VB')"
דְּקַבָּלָה,A,,,
בַּצָּפוֹן,"('R', 'NN')","('צָפוֹן', 'NN')",,
הוּא,A,הוּא,,
אֲבָל,"('R', 'CC')","('אֲבָל', 'CC')","('אֵבֶל', 'NN')","('אָבֵל', 'שֵם')"
שְׁחָטָן,"('R', 'NN')","('שָׁחַט', 'VB')",,
בַּצָּפוֹן,"('R', 'NN')","('צָפוֹן', 'NN')",,
וְקִיבֵּל,"('A', 'yyDOT')","('קִבֵּל', 'VB')",,
דָּמָן,"('R', 'NN')","('דָּם', 'NN')",,
בַּדָּרוֹם,"('R', 'NNT')","('דָּרוֹם', 'NN')",,
הוֹאִיל,"('R', 'CC')","('הוֹאִיל', 'VB')","('הוֹאִיל', 'CC')",
וְקִיבֵּל,"('A', 'yyDOT')","('קִבֵּל', 'VB')",,
בַּדָּרוֹם,"('R', 'NNP')","('דָּרוֹם', 'NN')",,
הוּא,A,הוּא,,
נָפֵיק,A,נָפֵק,,
מִידֵי,"('A', 'yyDOT')","('מִידֵי', 'IN')","('יָד', 'NN')",
מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
,,,,
וְאִי,A,אִי,,
תְּנָא,A,תְּנָא,,
הַאי,A,הַאי,,
הֲוָה,A,הֲוָה,,
אָמֵינָא,A,אָמֵינָא,,
יְמָמָא,A,יְמָמָא,,
זְמַן,"('R', 'NNT')","('זְמַן', 'NN')",,
הַקְרָבָה,"('R', 'NN')","('הַקְרָבָה', 'NN')",,
הוּא,A,הוּא,,
אֲבָל,"('R', 'CC')","('אֲבָל', 'CC')","('אֵבֶל', 'NN')","('אָבֵל', 'שֵם')"
שְׁחָטָהּ,"('R', 'NN')","('שָׁחַט', 'VB')","('חִטָּה', 'NN')",
בַּלַּיְלָה,"('R', 'NN')","('בְּלִילָה', 'NN')","('לַיְלָה', 'NN')","('לַיִל', 'NN')"
וְזָרַק,"('R', 'VB')","('זָרַק', 'VB')",,
בַּיּוֹם,"('R', 'NNT')","('יוֹם', 'NN')",,
לַיְלָה,"('R', 'NN')","('לַיְלָה', 'NN')","('לַיִל', 'NN')",
לָאו,A,לָאו,,
זְמַן,"('R', 'NNT')","('זְמַן', 'NN')",,
הַקְרָבָה,"('R', 'NN')","('הַקְרָבָה', 'NN')",,
וְהַאי,A,הַאי,,
דְּשָׁחֵט,A,שָׁחֵט,,
בַּלַּיְלָה,"('R', 'NN')","('בְּלִילָה', 'NN')","('לַיְלָה', 'NN')","('לַיִל', 'NN')"
דְּנָפֵיק,A,נָפֵק,,
מִידֵי,"('A', 'yyDOT')","('מִידֵי', 'IN')","('יָד', 'NN')",
מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
,,,,
וְאִי,A,אִי,,
תְּנָא,A,תְּנָא,,
שְׁחָטָהּ,"('R', 'VB')","('שָׁחַט', 'VB')","('חִטָּה', 'NN')",
בַּלַּיְלָה,"('R', 'NN')","('בְּלִילָה', 'NN')","('לַיְלָה', 'NN')","('לַיִל', 'NN')"
הֲוָה,A,הֲוָה,,
אָמֵינָא,A,אָמֵינָא,,
הוֹאִיל,"('R', 'CC')","('הוֹאִיל', 'VB')","('הוֹאִיל', 'CC')",
וְקִבֵּל,"('R', 'NN')","('קִבֵּל', 'VB')","('קָבַל', 'VB')","('קַבָּל', 'NN')"
דָּמָה,"('R', 'VB')","('דָּמָה', 'VB')","('דָּם', 'NN')",
בַּיּוֹם,"('R', 'NNT')","('יוֹם', 'NN')",,
אִית,A,אִית,,
בַּהּ,A,,,
